,State,District,City,Temple,Change
1,Andhra Pradesh, Adilabad ,Mahur,Masjid in the Fort on the hill, Temple site.
2,Andhra Pradesh, Anantpur , Gooty,Gateway to the Hill Fort, Temple materials used.
3,Andhra Pradesh, Anantpur , Kadiri,Jãmi‘ Masjid, Temple site.
4,Andhra Pradesh, Anantpur , Konakondla,Masjid in the bazar, Temple materials used.
5,Andhra Pradesh, Anantpur , Penukonda,Fort, Temple materials used.
6,Andhra Pradesh, Anantpur , Penukonda,Masjid in the Fort, Converted Temple.
7,Andhra Pradesh, Anantpur , Penukonda,Sher Khãn’s Masjid (1546),38 Converted Temple.
8,Andhra Pradesh, Anantpur , Penukonda,Dargãh of Babayya, Converted Îšvara Temple.
9,Andhra Pradesh, Anantpur , Penukonda,Jãmi‘ Masjid (1664-65), Temple site.
10,Andhra Pradesh, Anantpur , Penukonda,Dargãh of Shãh Fakbru’d-Dîn (1293-94), Temple site.
11,Andhra Pradesh, Anantpur , Tadpatri,Jãmi‘ Masjid (1695-96), Temple site.
12,Andhra Pradesh, Anantpur , Tadpatri,Idgãh completed in 1725-26, Temple site.
13,Andhra Pradesh, Anantpur , Thummala,Masjid (1674-75), Temple site.
14,Andhra Pradesh, Cuddapah District, Cuddapah,Bhãp Sãhib-kî-Masjid (1692), Temple site.
15,Andhra Pradesh, Cuddapah District, Cuddapah,Idgãh (1717-18), Temple site.
16,Andhra Pradesh, Cuddapah District, Cuddapah,Bahãdur Khãn-kî-Masjid (1722-23), Temple site.
17,Andhra Pradesh, Cuddapah District, Cuddapah,Dargãh of Shãh Amînu’d-Dîn Gesû Darãz (1736-37), Temple site.
18,Andhra Pradesh, Cuddapah District, Duvvuru,Masjid, Temple site.
19,Andhra Pradesh, Cuddapah District, Gandikot,Jãmi‘ Masjid (1690-91), Temple site.
20,Andhra Pradesh, Cuddapah District, Gangapuru,Masjid, Temple site.
21,Andhra Pradesh, Cuddapah District, Gundlakunta,Dastgîrî Dargãh, Temple site.
22,Andhra Pradesh, Cuddapah District, Gurrumkonda,Fort and several other Muslim buildings, Temple materials used.
23,Andhra Pradesh, Cuddapah District, Jammalmaduguu,Jãmi‘ Masjid (1794-95), Temple site.
24,Andhra Pradesh, Cuddapah District, Jangalapalle,Dargãh of Dastgîr Swãmî, Converted Jangam temple.
25,Andhra Pradesh, Cuddapah District, Siddhavatam,Qutb Shãhî Masjid (restored in 1808), Temple materials use.
26,Andhra Pradesh, Cuddapah District, Siddhavatam,Jãmi‘ Masjid (1701), Temple materials used.
27,Andhra Pradesh, Cuddapah District, Siddhavatam,Dargãh of Bismillãh Khãn Qãdirî, Temple materials used.
28,Andhra Pradesh, Cuddapah District, Siddhavatam,Fort and Gateways, Temple materials used.
29,Andhra Pradesh, Cuddapah District, Siddhavatam,Chowk-kî-Masjid, Temple site.
30,Andhra Pradesh, Cuddapah District, Vutukuru,Masjid at Naligoto, Temple site.
31,Andhra Pradesh, Cuddapah District, Vutukuru,Masjid at Puttumiyyapeta, Temple site.
32,Andhra Pradesh, East Godavari ,Bikkavolu,Masjid, Temple materials used.
33,Andhra Pradesh, Guntur , Nizampatnam,Dargãh of Shãh Haidrî (1609), Temple site
34,Andhra Pradesh, Guntur , Vinukonda,Jãmi‘ Masjid (1640-41), Temple site.
35,Andhra Pradesh, Hyderabad , Chikalgoda,Masjid (1610), Temple site.
36,Andhra Pradesh, Hyderabad , Dargah,Dargãh of Shãh Walî (1601-02), Temple site.
37,Andhra Pradesh, Hyderabad , Golconda,Jãmi‘ Masjid on Bãlã Hissãr, Temple site.
38,Andhra Pradesh, Hyderabad , Golconda,Tãrãmatî Masjid, Temple site.
39,Andhra Pradesh, Hyderabad , Hyderabad,Dargãh of Shãh Mûsã Qãdirî, Temple site.
40,Andhra Pradesh, Hyderabad , Hyderabad,Masjid on the Pirulkonda Hill (1690), Temple site.
41,Andhra Pradesh, Hyderabad , Hyderabad,Tolî Masjid (1671), Temple materials used.
42,Andhra Pradesh, Hyderabad , Hyderabad,Dargãh of Miãn Mishk (d, 1680). Temple site.
43,Andhra Pradesh, Hyderabad , Hyderabad,Dargãh of Mu’min Chup in Aliyãbãd (1322-23), Temple site.
44,Andhra Pradesh, Hyderabad , Hyderabad,Hãjî Kamãl-kî-Masjid (1657), Temple site.
45,Andhra Pradesh, Hyderabad , Hyderabad,Begum Masjid (1593), Temple site.
46,Andhra Pradesh, Hyderabad , Hyderabad,Dargãh of Islãm Khãn Naqshbandî, Temple site.
47,Andhra Pradesh, Hyderabad , Hyderabad,Dargãh of Shãh Dã‘ûd (1369-70), Temple site.
48,Andhra Pradesh, Hyderabad , Hyderabad,Jãmi‘ Masjid (1597), Temple site.
49,Andhra Pradesh, Hyderabad , Secunderabad,Qadam RasUl, Temple site.
50,Andhra Pradesh, Hyderabad , Sheikhpet,Shaikh-kî-Masjid (1633-34), Temple site.
51,Andhra Pradesh, Hyderabad , Sheikhpet,SarãiwAlî Masjid (1678-79), Temple tite.
52,Andhra Pradesh, Karimnagar , Dharampuri,Masjid (1693), TrikûTa Temple site.
53,Andhra Pradesh, Karimnagar , Elangdal,Mansûr Khãn-kî-Masjid (1525), Temple site.
54,Andhra Pradesh, Karimnagar , Elangdal,Alamgîrî Masjid (1696), Temple site.
55,Andhra Pradesh, Karimnagar , Kalesyaram,Ãlamgîrî Masjid, Temple site.
56,Andhra Pradesh, Karimnagar , Sonipet,Ãlamgîrî Masjid, Temple site.
57,Andhra Pradesh, Karimnagar , Vemalvada,Mazãr of a Muslim saint, Temple site.
58,Andhra Pradesh, Krishna , Gudimetta,"Masjid in the Fort, Temple materials used",
59,Andhra Pradesh, Krishna , Guduru,Jãmi‘ Masjid (1497), Temple materials used.
60,Andhra Pradesh, Krishna , Gundur,Jãmi‘ Masjid, Converted temple.
61,Andhra Pradesh, Krishna , Kondapalli,Masjid built in 1482 on the site of a temple after Muhammad Shãh BahmanI had,
62,Andhra Pradesh, Krishna , Kondapalli,Mazãr of Shãh Abdul Razzãq, Temple site.
63,Andhra Pradesh, Krishna , Kondavidu,Masjid (1337), Temple materials used.
